,count,mean,std,min,25%,50%,75%,max
_NumCaso,3000096.0,24999.49808006144,14433.621915861726,0.0,12500.0,24999.5,37499.0,49999.0
ANG_L_ange,3000096.0,16.82034858884517,19.3306675772781,0.0,0.0,8.74,31.8,66.04
ANG_L_anghd,3000096.0,5.20999024031231,17.38756299031556,0.0,0.0,0.0,0.0,88.51
ANG_L_anghe,3000096.0,5.209299262423604,17.392635633967757,0.0,0.0,0.0,0.0,88.27
ANG_L_angv,3000096.0,9.216242400243193,11.568598696609362,0.0,0.0,3.01,16.982499999999998,57.31
ANG_N_ange,3000096.0,16.85077969504975,19.336077265922594,0.0,0.0,8.86,31.81,66.04
ANG_N_anghd,3000096.0,5.229265823493647,17.419454586066372,0.0,0.0,0.0,0.0,88.47
ANG_N_anghe,3000096.0,5.213529527055135,17.39364738063149,0.0,0.0,0.0,0.0,88.3
ANG_N_angv,3000096.0,9.227189809926081,11.567159415320718,0.0,0.0,3.07,17.01,56.53
ANG_O_ange,3000096.0,16.82439805926211,19.3309371129497,0.0,0.0,8.75,31.8,66.04
ANG_O_anghd,3000096.0,5.214679730248631,17.40158191162166,0.0,0.0,0.0,0.0,88.48
ANG_O_anghe,3000096.0,5.219787606796586,17.39776278438526,0.0,0.0,0.0,0.0,88.34
ANG_O_angv,3000096.0,9.207221808902103,11.555241641565802,0.0,0.0,3.01,17.0,56.53
ANG_S_ange,3000096.0,16.795010159674902,19.324353074255168,0.0,0.0,8.68,31.75,66.04
ANG_S_anghd,3000096.0,5.210978408690917,17.393984086605247,0.0,0.0,0.0,0.0,88.47
ANG_S_anghe,3000096.0,5.210413426770349,17.386785716471117,0.0,0.0,0.0,0.0,88.36
ANG_S_angv,3000096.0,9.200826253559894,11.559244375659516,0.0,0.0,2.96,16.98,57.31
APP_CeilingHeight,3000096.0,4.939277583117342,1.4796786246853706,2.38,3.65,4.93,6.23,7.5
APP_E_Door_isIn,3000096.0,0.3005383827717513,0.4584922391078835,0.0,0.0,0.0,1.0,1.0
APP_E_ParExt_SUP_AreaGross,3000096.0,13.438410281514978,16.9121929146983,0.0,0.0,7.031045,22.8253,124.56459600000002
APP_E_ParInt_SUP_AreaGross,3000096.0,21.545663094884972,24.12998053447513,0.0,0.0,16.656875,33.119625,167.27256
